小区ID,城市,行政区,小区名称,户型分类,户型类型,标准面积,面积区间,户型租金/毛坯,租金/简易装修,租金/精装修,租金/豪华装修,租金/付款方式,更新时间
---,杭州,西湖区,翠苑一区,2室1厅,---,7,"(0, 10]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,凯盛公寓,2室1厅,---,11,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,西湖区,圣苑小区,3室1厅,---,16,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,西湖区,华苑公寓,3室1厅,---,7,"(0, 10]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,古荡新村东区,2室1厅,---,13,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,西湖区,耀江文欣苑,4室1厅,---,8,"(0, 10]",1866,1866,1866,1866,押一付三,---
---,杭州,西湖区,春天花园,4室1厅,---,11,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,西湖区,物华小区,3室1厅,---,19,"(1, 11]",2190,2190,2190,2190,押一付三,---
---,杭州,西湖区,望月公寓,3室1厅,---,13,"(1, 11]",1980,1980,1980,1980,押一付三,---
---,杭州,西湖区,西城美墅,3室1厅,---,10,"(1, 11]",1810,1810,1810,1810,押一付三,---
---,杭州,西湖区,物华小区,3室1厅,---,13,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,西湖区,湖畔花园桃花苑,5室1厅,---,11,"(1, 11]",1800,1800,1800,1800,押一付三,---
---,杭州,西湖区,星洲花园圣淘沙韵,4室1厅,---,13,"(1, 11]",1830,1830,1830,1830,押一付三,---
---,杭州,西湖区,金田花园,4室1厅,---,11,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,西湖区,上郡,3室1厅,---,12,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,西湖区,望月公寓,3室1厅,---,15,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,西湖区,西城年华,5室1厅,---,10,"(1, 11]",1723,1723,1723,1723,押一付三,---
---,杭州,西湖区,文三西路39号,3室1厅,---,14,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,西湖区,湖畔花园桃花苑,4室1厅,---,12,"(1, 11]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,新星小区,4室1厅,---,13,"(1, 11]",1460,1460,1460,1460,押一付三,---
---,杭州,西湖区,翠苑一区,2室1厅,---,7,"(0, 10]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,凯盛公寓,2室1厅,---,11,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,西湖区,圣苑小区,3室1厅,---,16,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,西湖区,华苑公寓,3室1厅,---,7,"(0, 10]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,古荡新村东区,2室1厅,---,13,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,西湖区,耀江文欣苑,4室1厅,---,8,"(0, 10]",1866,1866,1866,1866,押一付三,---
---,杭州,西湖区,春天花园,4室1厅,---,11,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,西湖区,物华小区,3室1厅,---,19,"(1, 11]",2190,2190,2190,2190,押一付三,---
---,杭州,西湖区,望月公寓,3室1厅,---,13,"(1, 11]",1980,1980,1980,1980,押一付三,---
---,杭州,西湖区,西城美墅,3室1厅,---,10,"(1, 11]",1810,1810,1810,1810,押一付三,---
---,杭州,西湖区,物华小区,3室1厅,---,13,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,西湖区,湖畔花园桃花苑,5室1厅,---,11,"(1, 11]",1800,1800,1800,1800,押一付三,---
---,杭州,西湖区,星洲花园圣淘沙韵,4室1厅,---,13,"(1, 11]",1830,1830,1830,1830,押一付三,---
---,杭州,西湖区,金田花园,4室1厅,---,11,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,西湖区,上郡,3室1厅,---,12,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,西湖区,望月公寓,3室1厅,---,15,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,西湖区,西城年华,5室1厅,---,10,"(1, 11]",1723,1723,1723,1723,押一付三,---
---,杭州,西湖区,文三西路39号,3室1厅,---,14,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,西湖区,湖畔花园桃花苑,4室1厅,---,12,"(1, 11]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,新星小区,4室1厅,---,13,"(1, 11]",1460,1460,1460,1460,押一付三,---
---,杭州,西湖区,物华小区,3室1厅,---,17,"(1, 11]",1946,1946,1946,1946,押一付三,---
---,杭州,西湖区,天虹公寓南区,3室1厅,---,8,"(0, 10]",1560,1560,1560,1560,押一付三,---
---,杭州,西湖区,信鸿花园南区,3室1厅,---,8,"(0, 10]",460,460,460,460,押一付三,---
---,杭州,西湖区,塘苗路28号,2室1厅,---,17,"(1, 11]",2260,2260,2260,2260,押一付三,---
---,杭州,西湖区,奥克斯缔壹城,4室1厅,---,8,"(0, 10]",1376,1376,1376,1376,押一付三,---
---,杭州,西湖区,莲花新村东区,3室1厅,---,14,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,西湖区,协安蓝郡,4室1厅,---,10,"(1, 11]",1360,1360,1360,1360,押一付三,---
---,杭州,西湖区,亚洲城花园西区,4室1厅,---,9,"(0, 10]",1936,1936,1936,1936,押一付三,---
---,杭州,西湖区,嘉绿南苑,5室2厅,---,9,"(0, 10]",1576,1576,1576,1576,押一付三,---
---,杭州,西湖区,明月公寓,3室1厅,---,11,"(1, 11]",1630,1630,1630,1630,押一付三,---
