city,company,company_number,company_size,company_type,company_url,company_logo,eduLevel,emplType,jobName,jobType,positionUrl,salary,timeState,updateDate,workingExp
杭州,北京建设数字科技股份有限公司,CZ000325840,100-499人,民营,https://company.zhaopin.com/CZ000325840.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,本科,全职,asp.net开发工程师,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC000325846J00155170215.htm,6K-12K,招聘中,2019-07-11 08:38:16,1-3年
杭州,杭州对点人力资源管理有限公司,CZ414409920,100-499人,民营,https://company.zhaopin.com/CZ414409920.htm,https://fileihr.zhaopin.com/041/440/041440992/logo/c353d2cc-ddb1-45ec-a7ab-27fd041bcc85.jpg,本科,全职,python开发,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC414409924J00426312001.htm,10K-15K,最新,2019-07-16 09:40:24,5-10年
杭州,杭州皮森教育科技有限公司,CZ393123780,20-99人,民营,https://company.zhaopin.com/CZ393123780.htm,https://fileihr.zhaopin.com/039/312/039312378/logo/4cf46bcd-1ffa-4582-9a2a-d2cb7209c381.png,大专,全职,python赴日开发工程师,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CZ393123780J00257280003.htm,20K-30K,最新,2019-07-16 10:58:01,不限
杭州-余杭区,圆通速递有限公司,CZ138773160,10000人以上,上市公司,https://company.zhaopin.com/CZ138773160.htm,https://company.zhaopin.com/CompanyLogo/20180110/CF2912D89395C48E57BA3FAE65BF5AE4.jpg,本科,全职,python高级开发工程师,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC138773165J00316738805.htm,15K-20K,最新,2019-07-16 10:59:39,3-5年
杭州,杭州数美科技有限公司,CZ504452280,100-499人,民营,https://company.zhaopin.com/CZ504452280.htm,https://company.zhaopin.com/CompanyLogo/20170629/513FEC19334A9A804E385F8B776D58B6.jpg,本科,全职,python工程师,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC504452282J00245817905.htm,12.5K-25K,最新,2019-07-16 10:46:02,3-5年
杭州-下沙,杭州沃镭智能科技股份有限公司,CZ346054610,100-499人,民营,https://company.zhaopin.com/CZ346054610.htm,http://campusimage.zhaopin.com/pic/cimg/Company/Logo/34605461/136350242584_136x136.png,本科,全职,软件工程师（Python）,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC346054612J00254758306.htm,7K-14K,最新,2019-07-16 08:47:04,1-3年
杭州,杭州金时资产管理有限公司,CZ573260080,20-99人,民营,https://company.zhaopin.com/CZ573260080.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,本科,全职,C++/Python开发工程师,IT运维/技术支持,https://jobs.zhaopin.com/573260086250000.htm,13K-26K,最新,2019-07-16 08:52:07,不限
杭州-江干区,视联动力信息技术股份有限公司,CZ397785110,1000-9999人,民营,https://company.zhaopin.com/CZ397785110.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/38d3886bc7d1e0710bbca78bfd80dbb6.jpg,本科,全职,python开发(J10431),软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC397785110J00128005512.htm,10K-15K,招聘中,2019-07-04 11:53:47,1-3年
杭州-江干区,视联动力信息技术股份有限公司,CZ397785110,1000-9999人,民营,https://company.zhaopin.com/CZ397785110.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/38d3886bc7d1e0710bbca78bfd80dbb6.jpg,本科,全职,杭州Python开发,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC397785110J00128954812.htm,8K-15K,招聘中,2019-07-10 11:02:45,1年以下
杭州-江干区,视联动力信息技术股份有限公司,CZ397785110,1000-9999人,民营,https://company.zhaopin.com/CZ397785110.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/38d3886bc7d1e0710bbca78bfd80dbb6.jpg,本科,全职,Python开发,软件/互联网开发/系统集成,https://jobs.zhaopin.com/CC397785110J00124532912.htm,6K-10K,招聘中,2019-07-10 11:02:46,1年以下
