bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
【预订】Learn More Python 3 the Hard Way: The Next Step for New Python Programmers,"Shaw, Zed A.",---,---,346.98,9780134123486,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】Effective Python: 59 Specific Ways to Write Better Python,"Slatkin, Brett",---,---,308.40,9780134034287,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】Beginning Python: From Novice to Professional,---,Random House US,---,396.80,9781590599822,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】Dive Into Python,---,Random House US,---,363.93,9781590593561,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】I'm a Python Programmer,"Wainewright, Max",Crabtree Publishing Company,---,266.69,9780778735199,0,,,,图书>童书>进口儿童书>Stories图画故事书图书>童书>7-10岁>少儿英语图书>童书>3-6岁>少儿英语
【预订】Gm-Monty Python Fluxx,"Hamilton, Todd Cameron,Looney, Andrew",Looney Labs,---,163.28,9781929780693,0,,,,"图书>英文原版书>健康与心理Health,Mind&Body"
精通特征工程 人工智能教程机器学习 Python 算法 通过Python示例掌握特征工程基本原则和实,爱丽丝·郑等,人民邮电出版社,2019年04月,46.02,9787115509680,19,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
（新经典） 编程真好玩：9岁开始学Python 克雷格斯蒂尔 著 中盘,斯蒂尔,南海出版公司,2019年07月,118.00,9787544296199,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
编程真好玩+达人迷 Python趣味编程10例 组套装,Brendan Scott,人民邮电出版社,2018年06月,128.35,9787115476807,1,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>其他
【高教考试在线网课】2019年计算机二级Python语言程序设计通关课程 35课时,石磊,高教考试在线,2019年07月,39.90,,0,胶版纸,平装-胶订,否,图书>网络课程>考试>计算机考试
【预订】Beginning Python 2.6 and Pytho,"Payne, James",John Wiley & Sons,2010年02月,326.42,9780470414637,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】Learning Python with Raspberry Pi,"Bradbury, Alex|Everard, Ben",Wiley,2014年03月,289.80,9781118717059,0,,,,图书>英文原版书>计算机Computers&Internet
【预订】Gray Hat Python: Python Programming for Hackers and Reverse Engineers,"Seitz, Justin",Penguin Random House LLC (No Starch),---,547.92,9781593271923,0,,,,图书>英文原版书>其他原版书>现代小说
零基础入门学习Python 9787302438205 小甲鱼 清华大学出版社,小甲鱼,清华大学出版社,2016年11月,49.50,9787302438205,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
区域包邮从零开始学Python网络爬虫+用Python写网络爬虫+Python网络数据采集 机械工业出版社,[澳] 理查德 劳森（Richard Lawson）,机械工业出版社,2017年11月,131.00,9787115431790,13,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>其他
【预订】Beginning Python Visualization: Crafting Visual Transformation Scripts,"Vaingast, Shai",Apress,---,622.22,9781430218432,0,,,,图书>英文原版书>计算机Computers&Internet
正版全2册教孩子学编程python语言版+趣学Python少儿儿童编,无,人民邮电出版社,2019年01月,118.00,9787115416346,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
京文！（区域包邮）TZ从零开始学Python程序设计9787111583813+Python数据分析与数据化运营9787111584605（共2本）,吴惠茹 等,机械工业出版社,2017年12月,140.50,9787111583813,0,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>其他
